SubAdminID,FullName,MineralLicks,WaterBodies,Feedgrounds,Guzzlers,BaitingStations,AgriculturalPractices,CaptiveCervidFacilities,RehabilitationFacilities,Taxidermists,Processors,RenderingFacilities,Incinerators,FoodBanks,Landfill,Dumping,Sheds,Roadkill,LocalPractices,FreeRangingCervidDispersal,SeasonalMigration
a1,jim,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
a2,joe,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
a3,jake,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
a4,join,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
a5,jeb,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
a6,bonny,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
a7,billy,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
a8,betty,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
a9,bo,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
a10,bing,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
a11,bart,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
a12,bill,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
